player_clean,wiki_total_views,importance_proxy
chris mullin,,33283.7
chris munk,,40.0
chris owens,,7.0
chris paul,17995272.0,47520.0
chris porter,15371.0,1197.5
chris quinn,,3549.7
chris richard,,850.0
chris robinson,,1618.7
chris silva,,812.0
chris singleton,,2754.3
chris smith,,4186.9
chris taft,,161.5
chris washburn,,1012.5
chris webber,,36133.6
chris welp,,1506.9
chris whitney,56089.0,11760.0
chris wilcox,,15852.7
chris wright,556105.0,352.1
chris youngblood,,439.0
christian braun,,7209.1
christian eyenga,169174.0,1207.7
christian koloko,,2009.3
christian laettner,5761433.0,31035.5
christian wood,,8496.4
chubby cox,,84.6
chuck aleksinas,,1187.4
chuck connors,,52.7
chuck cooper,,9596.7
chuck gardner,,530.0
chuck gilmur,,254.0
chuck grigsby,,52.0
chuck hayes,,13309.3
chuck lloyd,,132.2
chuck mencel,,2963.9
chuck mrazovich,,25.4
chuck nevitt,,1136.0
chuck noble,,9622.1
chuck osborne,,24.9
chuck person,,29931.8
chuck share,,16002.6
chuck terry,,5396.5
chuck williams,,22468.9
chuckie williams,,86.7
chucky atkins,,21875.0
chucky brown,238452.0,15500.1
chucky hepburn,,14.8
chuma okeke,,4437.7
cincy powell,,19275.6
cj elleby,,1453.4
cj huntley,,44.1
cj mccollum,,33024.2
clarence brookins,,66.8
clarence glover,23080.0,144.3
clarence kea,,498.8
clarence weatherspoon,,32054.1
clark kellogg,,8802.2
claude english,,87.7
claude gregory,,339.9
claude overton,,196.6
claude terry,,5250.9
claude virden,,856.4
clay johnson,,768.4
cleanthony early,,855.6
clem haskins,,18342.3
clemon johnson,,16103.3
cleo hill,,1108.3
cleveland buckner,,792.4
cliff alexander,,44.0
cliff anderson,,913.4
cliff barker,,645.1
cliff hagan,,24998.2
cliff levingston,214022.0,17843.9
cliff meely,,6997.9
cliff pondexter,45313.0,3058.8
cliff robinson,,22198.1
cliff williams,,20.9
clifford lett,,137.70000000000002
clifford ray,,20791.0
clifford robinson,,45819.4
clifford rozier,,3940.5
clint capela,,19156.8
clint mcdaniel,,83.3
clint richardson,,12422.3
clint wager,,64.5
clinton smith,,432.3
clinton wheeler,,1338.2
clyde dickey,3507.0,528.6
clyde drexler,,41650.6
clyde lee,,23199.1
clyde lovellette,,19849.6
clyde mayes,,1135.2
coby dietrick,,17166.3
coby karl,,327.5
coby white,1741609.0,15609.9
cody martin,299422.0,7230.8
cody williams,,2804.0
cody zeller,,12099.7
colby jones,,1338.9
cole aldrich,,4172.9
cole anthony,,8830.0
cole swider,,510.4
colin castleton,,1016.9
collin gillespie,,3116.0
collin murray-boyles,,1308.0
collin sexton,,15955.6
collis jones,,6540.6
collis temple,84236.0,126.1
conner henry,,1697.4
connie dierking,,18347.9
connie hawkins,,25779.8
connie norman,7936.0,1313.2
connie rea,,173.4
connie simmons,23535.0,8607.8
cooper flagg,,2419.8
corey beck,,1243.2
corey benjamin,,2341.5
corey brewer,1766008.0,26535.3
corey crowder,,415.1
corey gaines,,1083.1
corey kispert,667314.0,10143.2
corey maggette,,24260.5
corey williams,,327.0
corie blount,,13638.9
corky calhoun,,12906.9
corky devlin,,4238.8
corliss williamson,659340.0,22966.1
cormac ryan,,282.7
cornelius cash,,54.9
cornell warner,,13894.1
corny thompson,,563.4
corsley edwards,,120.0
cory alexander,,6518.4
cory blackwell,,609.3
cory carr,,663.8
cory higgins,,496.8
cory jefferson,,639.7
cory joseph,,20709.6
cotton nash,,1629.9
coty clarke,,9.0
coulby gunther,3357.0,92.6
courtney alexander,120532.0,5703.3
courtney fortson,,209.8
courtney lee,,27734.3
courtney sims,,44.0
cozell mcqueen,,10.1
craig brackins,,137.5
craig dill,,1419.4
craig dykema,,135.2
craig ehlo,,21999.2
craig hodges,,18584.1
craig neal,,1239.3
craig porter jr.,186760.0,2483.4
craig raymond,,7563.099999999999
craig shelton,,665.3
craig smith,40747.0,7246.5
craig spitzer,9106.0,54.0
craig sword,,22.1
cristiano felício,,3814.5
cui yongxi,,14.8
cuonzo martin,,38.9
curly armstrong,,160.2
curtis borchardt,51259.0,1200.4
curtis jones,,98.1
curtis kitchen,,37.2
curtis perry,,16073.5
curtis rowe,,18904.5
cuttino mobley,,30889.6
d'angelo russell,,25356.9
d'moi hodge,,48.0
d.c. wilcutt,,60.0
d.j. augustin,,31319.4
d.j. carton,2007.0,76.8
d.j. kennedy,,60.9
d.j. mbenga,,2169.9
d.j. stephens,,26.0
d.j. strawberry,,302.6
d.j. white,,2986.8
d.j. wilson,,2436.8
daequan cook,,6814.4
daeqwon plowden,,954.5
dahntay jones,,11522.5
dairis bertāns,,178.5
daishen nix,,1334.1999999999998
dajuan summers,,902.1
dajuan wagner,,2303.4
dakari johnson,,192.7
dakota mathias,,153.2
dalano banton,541476.0,4597.9
